Age,Workclass,Qualification,Marital status,occupation,sex,hours.per.week,Country,Income morethan 50k
46,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
57,Private,Doctorate,Married-civ-spouse,Tech-support,Male,40,Germany,1
36,Private,Masters,Married-civ-spouse,Prof-specialty,Female,44,United-States,1
44,Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Male,40,United-States,1
33,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
54,Private,Some-college,Married-civ-spouse,Tech-support,Male,18,United-States,1
55,Private,Masters,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
36,Private,Masters,Married-civ-spouse,Sales,Male,50,United-States,1
49,Local-gov,Prof-school,Married-civ-spouse,Prof-specialty,Female,60,United-States,1
41,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
40,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,45,Hong,1
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,0
39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,20,United-States,0
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,45,United-States,0
39,Private,Masters,Never-married,Exec-managerial,Male,40,United-States,0
21,Private,Some-college,Never-married,Prof-specialty,Male,40,United-States,0
23,Private,Some-college,Never-married,Sales,Female,40,United-States,0
47,Private,HS-grad,Divorced,Exec-managerial,Female,40,United-States,0
30,Private,HS-grad,Never-married,Adm-clerical,Female,40,United-States,0
35,Private,Some-college,Never-married,Machine-op-inspct,Male,40,United-States,0
26,Private,Some-college,Never-married,Adm-clerical,Female,40,United-States,0
26,Private,Bachelors,Never-married,Exec-managerial,Male,55,United-States,0
41,Local-gov,Masters,Divorced,Prof-specialty,Male,40,United-States,0
30,Local-gov,Some-college,Never-married,Protective-serv,Male,40,United-States,0
28,Private,HS-grad,Separated,Craft-repair,Male,40,United-States,0
56,Private,HS-grad,Widowed,Sales,Female,40,United-States,0
35,Private,HS-grad,Never-married,Machine-op-inspct,Male,40,United-States,0
34,Private,Assoc-voc,Never-married,Tech-support,Female,40,United-States,0
29,Private,HS-grad,Never-married,Craft-repair,Male,35,United-States,0
23,Private,Assoc-acdm,Never-married,Adm-clerical,Female,20,United-States,0
24,Federal-gov,HS-grad,Never-married,Adm-clerical,Female,40,United-States,0
62,Private,Some-college,Divorced,Adm-clerical,Male,40,United-States,0
77,Self-emp-not-inc,Some-college,Widowed,Adm-clerical,Female,1,United-States,0
47,Private,Prof-school,Married-civ-spouse,Prof-specialty,Female,60,Honduras,1
48,Self-emp-not-inc,Doctorate,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
31,Private,Masters,Married-civ-spouse,Tech-support,Male,40,United-States,1
43,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,England,1
50,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,65,United-States,1
36,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
49,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
38,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,1
48,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Female,46,United-States,1
46,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
56,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Male,60,United-States,1
37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
51,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Male,40,United-States,1
43,Private,Masters,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
46,Local-gov,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,0
42,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
45,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,35,United-States,1
23,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,United-States,0
45,Private,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
30,State-gov,HS-grad,Married-civ-spouse,Adm-clerical,Male,40,United-States,0
49,Private,Assoc-acdm,Married-civ-spouse,Sales,Female,40,United-States,1
57,Private,Prof-school,Married-civ-spouse,Craft-repair,Male,40,Philippines,1
42,Self-emp-not-inc,Bachelors,Married-civ-spouse,Farming-fishing,Male,80,United-States,1
43,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Female,40,United-States,1
43,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
42,Private,Prof-school,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
40,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Male,48,United-States,1
41,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
49,Private,Bachelors,Married-civ-spouse,Craft-repair,Male,40,United-States,1
31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,Puerto-Rico,1
34,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
40,Federal-gov,Masters,Married-civ-spouse,Tech-support,Male,40,Philippines,1
50,Private,Some-college,Married-civ-spouse,Adm-clerical,Female,38,United-States,1
54,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,1
49,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,50,United-States,1
44,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Female,60,United-States,1
57,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
28,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,55,United-States,0
57,Private,Some-college,Married-civ-spouse,Sales,Male,40,United-States,1
59,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,43,United-States,1
38,Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Female,40,United-States,1
36,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,60,United-States,1
55,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
34,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Male,60,United-States,1
51,Private,Some-college,Married-civ-spouse,Sales,Male,50,United-States,1
46,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,70,Canada,1
33,Private,Masters,Married-civ-spouse,Exec-managerial,Male,45,Germany,1
31,State-gov,Bachelors,Married-civ-spouse,Prof-specialty,Female,35,United-States,1
31,Private,Bachelors,Married-civ-spouse,Exec-managerial,Female,35,United-States,1
59,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Male,52,United-States,1
48,Private,Assoc-acdm,Married-civ-spouse,Sales,Male,40,United-States,1
33,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
46,Private,Some-college,Married-civ-spouse,Craft-repair,Male,50,United-States,1
53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
39,Private,Masters,Married-civ-spouse,Prof-specialty,Female,18,United-States,1
44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
45,Private,Masters,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
42,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Male,40,United-States,1
24,Self-emp-not-inc,7th-8th,Married-civ-spouse,Transport-moving,Male,40,United-States,1
57,Private,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
51,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
44,Private,Some-college,Married-civ-spouse,Sales,Male,40,United-States,1
47,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
36,Private,Bachelors,Married-civ-spouse,Sales,Male,45,United-States,1
34,Private,Some-college,Married-civ-spouse,Prof-specialty,Male,38,United-States,1
49,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
45,Private,Bachelors,Married-civ-spouse,Sales,Male,45,United-States,1
46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
53,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,48,United-States,1
63,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
52,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
37,Private,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
44,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
53,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
32,Private,Bachelors,Married-civ-spouse,Tech-support,Male,40,United-States,1
50,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
42,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Male,40,South,1
50,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Male,40,United-States,1
33,Private,Bachelors,Married-civ-spouse,Sales,Male,55,United-States,1
50,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Female,40,United-States,1
32,Private,Bachelors,Married-civ-spouse,Prof-specialty,Female,32,United-States,1
41,Private,HS-grad,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
54,Private,HS-grad,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
34,Private,Assoc-acdm,Married-civ-spouse,Sales,Male,50,United-States,1
41,Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,55,United-States,1
39,Self-emp-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
42,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
31,Private,Bachelors,Married-civ-spouse,Sales,Male,45,United-States,1
45,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Male,42,United-States,1
41,Private,Bachelors,Married-civ-spouse,Tech-support,Male,42,United-States,1
48,Private,Masters,Married-civ-spouse,Exec-managerial,Female,38,United-States,1
32,Self-emp-inc,HS-grad,Married-civ-spouse,Farming-fishing,Male,55,United-States,1
41,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Male,40,United-States,1
31,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Female,40,United-States,1
30,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Male,40,South,1
41,Private,Some-college,Married-civ-spouse,Exec-managerial,Female,40,United-States,1
48,Private,Masters,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
60,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Male,40,United-States,1
38,Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Male,65,United-States,1
46,Private,5th-6th,Married-civ-spouse,Transport-moving,Male,40,United-States,1
28,Private,Some-college,Married-civ-spouse,Sales,Male,55,United-States,1
64,Self-emp-inc,Doctorate,Married-civ-spouse,Exec-managerial,Male,60,United-States,1
42,Private,Masters,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
43,Private,Assoc-voc,Married-civ-spouse,Tech-support,Female,32,United-States,1
61,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Male,35,United-States,1
48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,40,China,1
46,Local-gov,Masters,Married-civ-spouse,Exec-managerial,Male,45,United-States,1
44,Private,Bachelors,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
39,Federal-gov,Some-college,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
46,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Male,40,United-States,1
48,Private,Doctorate,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
27,Private,11th,Married-civ-spouse,Craft-repair,Male,40,United-States,0
22,Federal-gov,Some-college,Married-civ-spouse,Sales,Male,37,United-States,1
51,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Male,40,United-States,1
48,State-gov,Some-college,Married-civ-spouse,Protective-serv,Male,40,United-States,1
52,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Male,40,United-States,0
31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,1
53,Private,Bachelors,Married-civ-spouse,Adm-clerical,Male,40,United-States,1
51,Private,Masters,Married-civ-spouse,Prof-specialty,Male,60,United-States,1
46,Local-gov,Doctorate,Married-civ-spouse,Prof-specialty,Female,52,United-States,1
25,Private,Some-college,Married-civ-spouse,Adm-clerical,Male,36,United-States,1
46,Private,HS-grad,Married-civ-spouse,Craft-repair,Male,40,United-States,1
57,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Male,30,United-States,1
44,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,50,United-States,1
42,Private,HS-grad,Married-civ-spouse,Transport-moving,Male,50,United-States,1
42,Private,Masters,Married-civ-spouse,Adm-clerical,Male,40,United-States,1
30,Private,Bachelors,Married-civ-spouse,Prof-specialty,Male,55,United-States,1
54,State-gov,Doctorate,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
46,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Male,45,United-States,1
33,Private,Bachelors,Married-civ-spouse,Adm-clerical,Male,50,United-States,1
38,Private,Some-college,Married-civ-spouse,Exec-managerial,Male,50,United-States,1
